LeftController  ;
timestamp;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
12.64 ;-0.1221253 ;1.264136 ;-3.805083 ;-0.1221253 ;1.264136 ;0.4049171 ;0.004580042 ;-0.04508379 ;-0.3431595 ;0.9381834 ;0.004580042 ;-0.04508379 ;-0.3431595 ;0.9381834 ;
12.66 ;-0.1218268 ;1.264827 ;-3.80465 ;-0.1218268 ;1.264827 ;0.4053502 ;0.006719126 ;-0.04483134 ;-0.3336173 ;0.941618 ;0.006719126 ;-0.04483134 ;-0.3336173 ;0.941618 ;
12.68 ;-0.1209285 ;1.267103 ;-3.804624 ;-0.1209285 ;1.267103 ;0.4053766 ;0.01018041 ;-0.04644836 ;-0.3163827 ;0.9474391 ;0.01018041 ;-0.04644836 ;-0.3163827 ;0.9474391 ;
12.7 ;-0.1202033 ;1.26808 ;-3.804824 ;-0.1202033 ;1.26808 ;0.4051756 ;0.01167454 ;-0.04378179 ;-0.3098971 ;0.9496898 ;0.01167454 ;-0.04378179 ;-0.3098971 ;0.9496898 ;
12.72 ;-0.1194519 ;1.270063 ;-3.804815 ;-0.1194519 ;1.270063 ;0.4051855 ;0.01496502 ;-0.04391456 ;-0.295673 ;0.954162 ;0.01496502 ;-0.04391456 ;-0.295673 ;0.954162 ;
12.74 ;-0.1191213 ;1.270859 ;-3.804517 ;-0.1191213 ;1.270859 ;0.4054827 ;0.01510615 ;-0.04389689 ;-0.2911796 ;0.9555414 ;0.01510615 ;-0.04389689 ;-0.2911796 ;0.9555414 ;
12.76 ;-0.1193762 ;1.271886 ;-3.804206 ;-0.1193762 ;1.271886 ;0.4057936 ;0.01844359 ;-0.04545788 ;-0.2818846 ;0.9581934 ;0.01844359 ;-0.04545788 ;-0.2818846 ;0.9581934 ;
12.78 ;-0.1195412 ;1.273868 ;-3.803647 ;-0.1195412 ;1.273868 ;0.4063531 ;0.02327031 ;-0.05002837 ;-0.2723304 ;0.9606205 ;0.02327031 ;-0.05002837 ;-0.2723304 ;0.9606205 ;
12.8 ;-0.1195354 ;1.27447 ;-3.80303 ;-0.1195354 ;1.27447 ;0.4069703 ;0.02368189 ;-0.05196379 ;-0.2717885 ;0.9606612 ;0.02368189 ;-0.05196379 ;-0.2717885 ;0.9606612 ;
12.82 ;-0.1193396 ;1.276517 ;-3.802656 ;-0.1193396 ;1.276517 ;0.4073441 ;0.02600209 ;-0.05415514 ;-0.2606787 ;0.9635547 ;0.02600209 ;-0.05415514 ;-0.2606787 ;0.9635547 ;
12.84 ;-0.1191809 ;1.277537 ;-3.802526 ;-0.1191809 ;1.277537 ;0.4074735 ;0.02756455 ;-0.0551928 ;-0.2550726 ;0.9649518 ;0.02756455 ;-0.0551928 ;-0.2550726 ;0.9649518 ;
12.86 ;-0.1224424 ;1.279644 ;-3.802108 ;-0.1224424 ;1.279644 ;0.4078924 ;0.03820855 ;-0.04006264 ;-0.211099 ;0.9758956 ;0.03820855 ;-0.04006264 ;-0.211099 ;0.9758956 ;
